sku,codigo_ean,produto,categoria,quantidade_disponivel,quantidade_reservada,estoque_minimo,corredor,nivel_prateleira,localizacao,status,fragil,lote,dimensoes_cm,peso_kg,fornecedor,data_entrada,data_ultima_movimentacao,custo_unitario,preco_venda
SKU-5076,7895692028356,Racao para Gatos Adultos 10kg,Pet Shop,391,64,15,F1,Nivel 4 (Alto),F1-4,Disponivel,False,L2026276,18.8x9.3x27.2,1.79,Comercio Atlas S.A.,2025-12-27,2026-05-05,185.4,326.47
SKU-4182,7890536065689,Pista de Carrinhos,Brinquedos,385,41,10,A1,Nivel 3,A1-3,Disponivel,False,L2026593,16.7x41.4x19.5,2.64,Ponto Central Suprimentos,2026-01-19,2026-06-18,49.91,100.72
SKU-2514,7895580624752,Caderno Universitario 200fls,Papelaria,173,19,20,A3,Nivel 1 (Solo),A3-1,Disponivel,False,L2026008,50.1x11.2x31.0,12.46,Global Trade Comercio Exterior,2026-01-22,2026-05-28,196.87,432.54
SKU-5319,7891472703932,Comedouro Duplo Inox,Pet Shop,184,34,30,D1,Nivel 2,D1-2,Em Conferencia,False,L2026751,42.7x26.1x15.0,10.28,Union Cargo Distribuidora,2026-04-22,2026-07-03,113.27,168.02
SKU-4168,7891264053528,Boneco de Acao Articulado,Brinquedos,113,22,30,C2,Nivel 3,C2-3,Disponivel,False,L2026346,25.2x24.6x6.8,11.42,Nortex Distribuicao,2026-02-13,2026-03-26,94.67,186.92
SKU-5225,7895384762360,Coleira Ajustavel,Pet Shop,78,66,15,F2,Nivel 3,F2-3,Disponivel,False,L2026993,54.8x30.7x36.0,10.37,Ponto Central Suprimentos,2026-01-27,2026-07-14,225.01,353.05
SKU-3017,7896060673772,Apontador com Deposito,Papelaria,272,79,30,B2,Nivel 1 (Solo),B2-1,Disponivel,False,L2026830,53.6x6.1x28.4,13.22,Metropolitana Atacado,2026-02-24,2026-06-28,22.73,40.6
SKU-1585,7890591191866,Roteador Wi-Fi Dual Band,Eletronicos,82,24,40,D1,Nivel 2,D1-2,Disponivel,False,L2026718,49.0x19.3x5.8,13.29,Fornecedora Horizonte Ltda,2025-12-12,2026-06-12,18.04,40.27
SKU-1255,7899565442096,Mouse Gamer,Eletronicos,155,72,40,D2,Nivel 4 (Alto),D2-4,Disponivel,False,L2026130,23.2x36.7x3.1,7.1,Ponto Central Suprimentos,2026-02-15,2026-06-15,276.68,546.03
SKU-5501,7890270021002,Carregador Veicular USB,Automotivo,384,43,40,D1,Nivel 2,D1-2,Disponivel,False,L2026149,24.5x41.3x3.4,7.65,Distribuidora Vega Ltda,2026-04-05,2026-04-24,81.78,142.04
SKU-4002,7893400267165,Creme Dental (kit 3un),Higiene e Beleza,232,17,10,C2,Nivel 3,C2-3,Reservado,False,L2026097,18.4x9.0x27.1,11.72,Metropolitana Atacado,2026-05-15,2026-05-17,446.32,712.38
SKU-6118,7893078300669,Quadro Branco 60x90cm,Utilidades para Escritorio,416,24,20,C1,Nivel 4 (Alto),C1-4,Disponivel,False,L2026975,56.7x31.8x39.6,3.65,Prime Supply Comercio,2026-06-06,2026-07-18,142.61,327.87
SKU-4541,7893080453100,Furadeira de Impacto 750W,Ferramentas,18,10,50,B3,Nivel 1 (Solo),B3-1,Baixo Estoque,False,L2026354,34.4x30.7x20.6,7.92,Comercio Atlas S.A.,2026-04-29,2026-06-01,181.1,364.97
SKU-3958,7898740074329,Protetor Solar FPS 50,Higiene e Beleza,84,68,25,D2,Nivel 3,D2-3,Em Conferencia,False,L2026387,28.7x46.2x27.2,6.66,Importadora Bravo,2026-05-20,2026-07-07,460.54,910.71
SKU-4114,7897682523810,Quebra-Cabeca 1000 pecas,Brinquedos,392,36,20,F2,Nivel 2,F2-2,Disponivel,False,L2026808,27.0x19.0x19.9,11.8,Nortex Distribuicao,2026-01-14,2026-06-15,379.74,731.52
SKU-2965,7890328659188,Pasta Catalogo 50 Envelopes,Papelaria,62,40,50,C3,Nivel 1 (Solo),C3-1,Reservado,False,L2026347,53.7x38.2x37.3,2.77,Fornecedora Horizonte Ltda,2025-12-26,2026-04-30,92.38,199.86
SKU-4822,7893954063510,Parafusadeira a Bateria,Ferramentas,14,1,25,F2,Nivel 1 (Solo),F2-1,Baixo Estoque,True,L2026202,27.5x15.9x24.3,7.58,Distribuidora Vega Ltda,2026-01-03,2026-07-05,307.03,487.95
SKU-6033,7897509871049,Organizador de Mesa,Utilidades para Escritorio,262,67,15,A3,Nivel 2,A3-2,Disponivel,True,L2026235,44.6x24.8x30.2,3.16,Metropolitana Atacado,2026-01-06,2026-03-31,383.93,686.06
SKU-5505,7891818538129,Carregador Veicular USB,Automotivo,125,71,20,B1,Nivel 1 (Solo),B1-1,Disponivel,False,L2026872,41.4x19.8x23.2,3.78,Comercio Atlas S.A.,2025-12-16,2026-07-02,132.7,179.6
SKU-4197,7899968650661,Pista de Carrinhos,Brinquedos,61,10,10,B3,Nivel 4 (Alto),B3-4,Disponivel,False,L2026871,7.7x18.9x16.8,7.64,Distribuidora Vega Ltda,2026-04-14,2026-07-16,42.83,97.51
SKU-2887,7891459456813,Grampeador de Mesa,Papelaria,16,0,20,D1,Nivel 3,D1-3,Baixo Estoque,False,L2026593,44.5x47.1x23.4,6.73,Fornecedora Horizonte Ltda,2026-06-16,2026-07-10,185.58,291.56
SKU-6126,7899781538252,Quadro Branco 60x90cm,Utilidades para Escritorio,451,40,50,B2,Nivel 1 (Solo),B2-1,Disponivel,True,L2026346,8.0x19.6x34.5,2.0,Distribuidora Vega Ltda,2025-12-25,2026-07-08,305.41,583.66
SKU-3861,7891562258489,Kit Skincare Facial,Higiene e Beleza,318,2,10,B2,Nivel 3,B2-3,Disponivel,False,L2026037,47.7x28.6x13.3,4.81,Fornecedora Horizonte Ltda,2025-12-13,2026-02-13,360.26,672.34
SKU-2814,7895602492352,Calculadora Simples,Papelaria,225,56,25,D2,Nivel 3,D2-3,Disponivel,False,L2026640,25.9x11.5x30.5,13.02,Union Cargo Distribuidora,2026-02-15,2026-07-17,178.79,255.88
SKU-4138,7897869856878,Boneco de Acao Articulado,Brinquedos,439,72,40,E1,Nivel 2,E1-2,Disponivel,False,L2026749,55.4x20.6x23.4,13.2,Global Trade Comercio Exterior,2026-01-15,2026-06-07,225.41,432.05
SKU-1722,7895076283975,Cartao de Memoria 128GB,Eletronicos,210,80,40,E1,Nivel 2,E1-2,Disponivel,True,L2026966,32.0x30.7x17.6,6.31,Importadora Bravo,2026-05-18,2026-06-23,132.58,291.8
